order_id,product_id,quantity
100001,78,1
100001,112,2
100002,28,0
100002,20,1
100003,8,1
100003,94,1
100003,101,1
100004,62,1
100004,60,1
100004,23,2
100005,70,2
100005,93,2
100005,61,1
100006,56,1
100007,21,2
100008,59,1
100008,6,2
100009,62,1
100009,118,1
100009,73,1
100010,43,1
100010,39,1
100010,110,1
100011,55,2
100011,63,2
100012,21,1
100012,115,1
100012,60,0
100013,9,1
100014,76,1
100014,104,1
100014,2,1
100015,5,1
100015,28,2
100015,51,1
100016,24,2
100016,69,1
100016,45,2
100017,46,1
100017,2,1
100018,116,2
100019,100,1
100019,61,2
100019,8,0
100020,120,1
100021,84,0
100021,116,1
100022,3,2
100022,65,2
100023,51,1
100023,50,1
100023,91,1
100024,29,1
100025,87,1
100026,34,1
100026,62,2
100027,19,0
100028,116,2
100029,88,1
100029,24,1
100030,19,1
100031,58,1
100031,65,1
100031,96,1
100032,24,0
100033,74,0
100033,26,1
100033,80,2
100034,21,1
100034,20,1
100034,20,1
100035,44,2
100036,78,1
100037,41,1
100037,53,0
100037,24,2
100038,98,2
100039,89,1
100039,47,1
100039,6,1
100040,90,1
100040,107,1
100040,102,1
100041,80,1
100041,66,1
100041,7,1
100042,93,2
100042,38,0
100043,63,1
100043,1,1
100044,28,2
100044,93,1
100044,100,1
100045,9,1
100045,69,1
100046,32,2
100047,17,1
100047,74,2
100048,118,1
100049,10,1
100049,73,1
100049,27,2
100050,100,1
100050,46,1
100051,71,2
100051,113,1
100051,75,1
100052,39,2
100053,47,1
100053,110,2
100054,89,1
100054,50,1
100055,39,2
100056,116,1
100056,23,2
100056,25,1
100057,35,0
100057,68,1
100057,13,1
100058,96,1
100058,65,1
100059,10,1
100059,78,1
100059,74,1
100060,40,1
100061,69,1
100061,60,2
100061,86,1
100062,23,2
100062,21,2
100063,100,2
100063,110,1
100064,89,1
100064,83,1
100064,17,2
100065,74,2
100065,96,1
100066,36,2
100066,18,1
100067,96,2
100067,112,1
100068,114,1
100069,14,1
100069,40,1
100070,7,1
100070,83,1
100071,99,1
100071,43,1
100071,100,0
100072,96,0
100072,36,1
100073,79,1
100073,70,2
100073,71,1
100074,78,1
100074,21,2
100074,9,2
100075,20,1
100076,92,1
100076,49,1
100077,73,2
100077,70,1
100077,71,2
100078,117,1
100079,91,1
100079,50,2
100079,56,1
100080,82,1
100080,117,1
100080,49,1
100081,110,1
100081,92,1
100082,74,1
100082,67,1
100083,29,1
100083,72,1
100083,60,1
100084,71,0
100085,19,1
100085,14,2
100085,50,1
100086,90,1
100087,32,1
100088,34,1
100088,33,2
100089,113,1
100089,47,2
100089,8,1
100090,65,1
100090,101,2
100090,114,1
100091,119,2
100092,80,0
100092,104,2
100092,73,1
100093,33,1
100093,110,2
100094,97,2
100094,7,1
100094,85,0
100095,91,1
100095,12,1
100095,66,1
100096,79,1
100096,24,1
100096,21,1
100097,71,2
100097,36,0
100097,92,2
100098,60,2
100099,22,0
100099,29,2
100099,19,1
100100,115,1
100100,4,1
100100,15,1
100101,4,1
100101,80,2
100102,81,2
100103,103,2
100103,4,2
100104,52,1
100104,51,1
100105,38,1
100105,30,1
100106,105,1
100106,96,1
100106,30,2
100107,88,2
100107,105,1
100107,31,1
100108,9,1
100108,87,2
100108,87,1
100109,7,2
100109,84,1
100109,73,2
100110,105,1
100110,76,1
100111,80,1
100112,84,1
100112,110,2
100112,91,1
100113,47,1
100113,56,1
100114,16,1
100114,80,1
100114,29,1
100115,83,0
100115,9,1
100116,40,1
100117,7,1
100117,39,1
100117,70,2
100118,43,1
100118,88,1
100119,52,1
100119,88,1
100120,119,2
100121,58,2
100122,23,1
100122,55,1
100122,116,1
100123,85,1
100124,41,1
100125,9,1
100125,108,1
100125,109,1
100126,58,1
100126,110,1
100126,74,2
100127,110,1
100128,106,1
100129,97,1
100129,40,1
100129,75,1
100130,105,1
100130,37,1
100130,36,1
100131,87,1
100132,46,0
100132,109,1
100133,115,2
100134,65,1
100134,65,1
100135,107,1
100136,32,2
100136,52,1
100136,110,1
100137,40,1
100137,97,1
100138,93,1
100138,54,1
100138,104,1
100139,60,2
100140,13,2
100141,115,2
100141,8,1
100141,73,2
100142,49,1
100142,103,0
100142,88,1
100143,69,1
100143,27,1
100144,32,2
100145,62,1
100145,64,1
100146,28,2
100146,29,1
100146,40,1
100147,96,1
100148,115,1
100149,51,1
100150,19,2
100150,91,1
100151,48,1
100152,56,1
100152,65,1
100152,55,1
100153,21,1
100153,70,2
100154,18,1
100154,59,1
100154,58,2
100155,3,1
100156,30,1
100157,3,1
100158,50,1
100158,113,1
100158,97,1
100159,78,0
100160,103,2
100160,48,1
100160,110,1
100161,91,0
100161,57,0
100162,17,1
100163,12,1
100163,4,1
100163,115,1
100164,50,1
100165,72,2
100166,4,1
100167,95,1
100168,48,1
100169,97,1
100170,64,2
100171,33,2
100171,5,2
100171,62,1
100172,53,1
100173,100,2
100173,47,1
100173,33,1
100174,9,1
100175,47,1
100175,102,1
100176,17,1
100177,115,1
100177,120,1
100178,36,1
100178,105,1
100179,103,2
100179,6,1
100180,109,2
100180,16,2
100181,56,1
100182,97,1
100182,29,2
100182,29,1
100183,108,1
100183,113,2
100184,81,1
100184,98,2
100184,98,1
100185,77,1
100186,62,1
100186,107,2
100187,114,2
100187,98,2
100187,52,1
100188,76,1
100188,3,1
100189,96,2
100189,111,1
100189,49,1
100190,96,1
