order_id,user_id,channel,payment_method,order_value,is_refund,order_date
100001,818,paid_search,credit_card,61.5,1,2023-05-12
100002,2269,organic,paypal,130.45,0,2023-03-09
100003,1537,email,credit_card,33.84,0,2022-11-21
100004,2192,paid_search,credit_card,140.68,0,2022-07-21
100005,890,social,credit_card,122.35,0,2022-03-04
100006,1878,organic,afterpay,14.06,0,2022-10-21
100007,1874,organic,paypal,82.24,0,2022-12-14
100008,790,organic,credit_card,84.06,0,2023-08-12
100009,553,paid_search,afterpay,108.64,0,2022-08-08
100010,844,Paid Search,credit_card,54.57,0,2023-09-06
100011,659,organic,paypal,263.21,0,2023-09-23
100012,2885,social,paypal,61.63,0,2022-10-19
100013,1019,paid_search,credit_card,28.43,0,2022-08-01
100014,1954,organic,credit_card,102.72,0,2023-06-20
100015,1191,organic,paypal,146.27,0,2023-01-08
100016,751,organic,credit_card,76.12,0,2022-02-22
100017,2297,organic,credit_card,38.4,0,2022-04-15
100018,775,paid_search,paypal,114.86,0,2023-09-25
100019,2812,email,credit_card,45.74,0,2022-07-16
100020,1381,email,afterpay,72.14,0,2022-09-22
100021,692,social,credit_card,97.46,0,2023-02-10
100022,2868,paid_search,credit_card,72.35,0,2023-04-09
100023,719,paid_search,paypal,239.07,0,2023-11-03
100024,234,email,afterpay,169.83,0,2022-12-31
100025,2072,social,paypal,369.49,0,2023-09-30
100026,1405,paid_search,credit_card,22.91,0,2023-07-25
100027,1006,paid_search,,100.65,0,2022-03-07
100028,1370,paid_search,credit_card,139.66,0,2023-04-20
100029,1402,paid search,credit_card,88.66,0,2022-09-19
100030,2570,email,afterpay,172.81,0,2022-12-15
100031,2065,organic,credit_card,92.01,0,2023-01-09
100032,2293,organic,paypal,62.71,0,2023-04-06
100033,2766,paid_search,,52.66,0,2023-10-30
100034,2818,organic,credit_card,2.34,0,2023-05-12
100035,717,Paid Search,credit_card,13.38,0,2022-04-20
100036,1563,social,credit_card,57.29,0,2023-08-27
100037,1712,paid_search,afterpay,107.69,0,2023-04-25
