user_id,country,device,signup_date
1,CA,mobile,2022-04-13
2,AU,mobile,2023-03-12
3,UK,desktop,2022-09-28
4,,desktop,2022-04-17
5,CA,mobile,2022-03-13
6,US,Mobile,2023-12-02
7,AU,mobile,2022-01-21
8,AU,desktop,2023-09-07
9,UK,mobile,2022-05-02
10,CA,mobile,2023-04-12
11,US,desktop,2022-08-03
12,AU,Mobile,2022-11-27
13,AU,desktop,2023-04-04
14,AU,mobile,2022-03-29
15,UK,mobile,2023-01-08
16,US,Mobile,2022-04-10
17,CA,mobile,2023-10-26
18,UK,mobile,2022-05-11
19,AU,mobile,2023-10-24
20,US,desktop,2022-11-05
21,US,Desktop,2022-12-10
22,US,Desktop,2023-05-07
23,UK,Mobile,2023-02-18
24,UK,mobile,2023-01-21
25,CA,mobile,2022-07-11
26,AU,desktop,2022-10-04
27,AU,mobile,2022-06-10
28,UK,Desktop,2023-04-05
29,AU,mobile,2022-11-10
30,AU,Desktop,2022-01-22
31,AU,desktop,2022-09-10
32,UK,desktop,2023-07-15
33,AU,mobile,20.04.2023
34,US,mobile,2022-02-28
35,,mobile,2023-05-26
36,AU,mobile,2023-11-13
37,AU,mobile,2023-04-21
38,AU,Mobile,2023-12-01
39,CA,mobile,2022-07-09
40,AU,Mobile,2023-11-18
41,AU,Mobile,2023-07-17
42,AU,mobile,2023-07-21
43,UK,Desktop,2022-09-01
44,US,mobile,2023-05-20
45,UK,mobile,2022-05-11
46,CA,Mobile,2023-04-30
47,AU,desktop,2023-10-09
48,UK,mobile,2022-01-21
49,AU,mobile,2022-06-16
50,CA,Mobile,2022-10-01
51,US,mobile,2023-01-23
52,CA,Mobile,2023-08-24
53,AU,Desktop,2022-11-12
54,AU,Desktop,2022-01-14
55,US,mobile,2022-08-30
56,AU,mobile,2022-12-12
57,AU,mobile,2023-07-19
58,US,mobile,2022-12-06
59,AU,mobile,2022-04-02
60,US,mobile,2023-01-02
61,UK,Desktop,2023-03-31
62,US,Desktop,2023-03-04
63,AU,mobile,2023-05-24
64,US,mobile,2022-02-04
65,AU,mobile,2022-07-25
66,,mobile,2022-03-22
67,AU,Mobile,2023-07-16
68,UK,Mobile,2023-01-23
69,,desktop,2022-01-02
70,UK,desktop,2023/01/25
71,UK,Mobile,2023-07-20
72,UK,desktop,2022-04-16
73,,mobile,2023-04-22
74,US,Mobile,2023-12-04
75,US,Mobile,2023-02-06
76,US,mobile,2023-12-31
77,US,mobile,2023-07-10
78,US,mobile,2022-06-11
79,US,Desktop,2022-07-21
80,AU,mobile,2022-09-27
81,AU,mobile,2022-09-28
82,AU,mobile,2023-04-01
83,AU,desktop,2023-04-07
84,AU,mobile,2023-12-28
85,US,Desktop,2022-09-09
86,AU,desktop,2023-12-03
87,UK,Mobile,2022-10-23
88,AU,desktop,2023-12-26
89,AU,mobile,21.12.2023
90,UK,mobile,2022-12-04
91,US,desktop,2022-02-22
92,AU,mobile,2022-08-05
93,CA,mobile,2022-07-07
94,CA,Mobile,2023-01-15
95,AU,mobile,2023-05-08
96,AU,Desktop,2022-02-10
97,,mobile,2022-06-06
98,US,desktop,2022-01-15
99,US,Mobile,2022-03-06
100,UK,desktop,05.06.2023
101,AU,mobile,2022-12-10
102,US,Mobile,2022-05-09
103,AU,desktop,2023-10-10
104,UK,Mobile,2023-04-17
105,US,mobile,2022-03-04
106,US,Mobile,2022-05-19
107,AU,desktop,2023-05-14
108,AU,mobile,2023-08-16
109,US,Desktop,2023-01-27
110,UK,mobile,2023-11-06
111,US,Mobile,2023-02-23
112,AU,desktop,2022-10-16
113,CA,desktop,2023-01-14
114,AU,desktop,2023-05-05
115,,Desktop,2022-08-19
116,AU,mobile,2022-02-10
117,UK,mobile,2022-01-28
118,AU,mobile,2022-05-15
119,CA,desktop,2022-07-20
120,US,desktop,2022-02-02
121,AU,mobile,2022-02-17
122,AU,mobile,2023-05-18
123,AU,mobile,2023-02-11
124,AU,desktop,2023-07-28
125,,mobile,2023-12-29
126,US,mobile,2022-04-09
127,UK,Mobile,2023-11-15
128,US,desktop,2023-12-27
129,UK,desktop,2023-07-01
130,AU,Mobile,2023-09-05
131,AU,mobile,2023-04-07
132,UK,Mobile,2023-10-05
133,,desktop,2022-01-05
134,AU,Desktop,2022-08-06
135,AU,mobile,2023-05-18
136,US,mobile,2023-02-02
137,,mobile,2023-01-28
138,AU,mobile,2022-07-26
139,US,desktop,2022-01-15
140,CA,mobile,2023-07-08
141,AU,Mobile,2023-04-06
142,AU,mobile,2023-11-22
143,US,mobile,2023-07-29
144,CA,Mobile,2022-08-29
145,AU,mobile,2023-07-18
146,US,mobile,2022-04-06
147,US,desktop,2023-04-30
148,US,Mobile,2023-02-11
149,US,mobile,2022-08-19
150,US,Desktop,2023-10-17
151,US,Mobile,2022-06-20
152,US,desktop,2023-06-25
153,US,mobile,2022-02-05
154,US,mobile,2023-06-09
155,CA,mobile,2022-06-09
156,AU,mobile,2023-11-30
157,UK,mobile,2022-08-31
158,CA,Desktop,2022-03-27
159,AU,Mobile,2023-08-01
160,US,mobile,2023-11-13
161,US,Mobile,2023-07-11
162,AU,mobile,2023-07-28
163,US,Mobile,2023-10-08
164,AU,Mobile,2022-01-28
165,AU,desktop,2023-09-12
166,UK,Desktop,2023-07-10
167,AU,mobile,2022-12-06
168,UK,Mobile,2022-11-27
169,US,Desktop,2023-10-02
170,CA,desktop,2023-05-21
171,US,Mobile,2022-12-14
172,AU,Desktop,2023-04-18
173,UK,mobile,2022-08-19
174,AU,Desktop,2022-07-09
175,US,mobile,2022-08-13
176,,Mobile,2023-01-20
177,AU,desktop,2023-01-12
178,US,mobile,2022-10-10
179,UK,Mobile,2023-09-25
180,CA,mobile,2023-09-20
181,UK,Desktop,2022-09-16
182,AU,desktop,2022-12-25
183,UK,desktop,2023-12-11
184,AU,Mobile,2023-04-01
185,UK,desktop,2023-02-15
186,,mobile,2023-10-11
187,UK,mobile,2022-11-14
188,CA,desktop,2023-11-08
189,AU,mobile,2022-08-13
190,UK,mobile,2022-08-22
191,UK,mobile,2023-11-15
192,AU,mobile,2023-10-26
193,CA,desktop,2023-01-09
194,AU,Mobile,2023-11-03
195,UK,desktop,2023-08-31
196,UK,mobile,2023-04-17
197,UK,mobile,2022-08-21
198,AU,mobile,2023-11-23
199,US,desktop,2022-04-23
200,US,Mobile,2023-05-12
201,CA,Desktop,2023-03-18
202,US,desktop,2023-07-18
203,AU,Mobile,2022-09-25
204,UK,Mobile,2023-05-25
205,US,Desktop,2023-01-21
206,US,desktop,2023-01-22
207,US,mobile,2022-04-23
208,CA,Mobile,2023-09-05
209,US,desktop,2023-09-17
210,US,desktop,2022-03-22
211,AU,mobile,2023-11-30
212,AU,desktop,2022-04-23
213,AU,Desktop,2022-01-02
214,AU,mobile,2023-10-04
215,US,desktop,2022-08-08
216,UK,mobile,2023-07-20
217,US,mobile,2022-08-13
218,UK,mobile,2023-01-20
219,,mobile,2023-02-07
220,UK,desktop,2023-09-30
